Game Code,Full Hyperlink,Home Team,Away Team,Home Team Short,Away Team Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Tipoff Winner,Tipoff Loser,Tipoff Winner Scores
202002290NYK,https://www.basketball-reference.com/boxscores/pbp/202002290NYK.html,New York Knicks,Chicago Bulls,NYK,CHI,T. Gibson,W. Carter,T. Gibson,NYK,CHI,J. Randle,/players/r/randlju01.html,NYK,T. Gibson,W. Carter,1
202002290ATL,https://www.basketball-reference.com/boxscores/pbp/202002290ATL.html,Atlanta Hawks,Portland Trail Blazers,ATL,POR,J. Collins,H. Whiteside,C. Anthony,POR,ATL,C. Anthony,/players/a/anthoca01.html,POR,H. Whiteside,J. Collins,1
202002290MIA,https://www.basketball-reference.com/boxscores/pbp/202002290MIA.html,Miami Heat,Brooklyn Nets,MIA,BRK,B. Adebayo,J. Allen,K. Nunn,MIA,BRK,D. Jones,/players/j/jonesde02.html,MIA,B. Adebayo,J. Allen,1
202002290CLE,https://www.basketball-reference.com/boxscores/pbp/202002290CLE.html,Cleveland Cavaliers,Indiana Pacers,CLE,IND,A. Drummond,M. Turner,D. Sabonis,IND,CLE,M. Brogdon,/players/b/brogdma01.html,IND,M. Turner,A. Drummond,1
202002290MEM,https://www.basketball-reference.com/boxscores/pbp/202002290MEM.html,Memphis Grizzlies,Los Angeles Lakers,MEM,LAL,J. Valančiūnas,J. McGee,D. Brooks,MEM,LAL,K. Anderson,/players/a/anderky01.html,MEM,J. Valančiūnas,J. McGee,1
202002290BOS,https://www.basketball-reference.com/boxscores/pbp/202002290BOS.html,Boston Celtics,Houston Rockets,BOS,HOU,D. Theis,R. Covington,J. Brown,BOS,HOU,J. Brown,/players/b/brownja02.html,BOS,D. Theis,R. Covington,1
202002290SAS,https://www.basketball-reference.com/boxscores/pbp/202002290SAS.html,San Antonio Spurs,Orlando Magic,SAS,ORL,J. Poeltl,N. Vučević,D. Murray,SAS,ORL,D. Murray,/players/m/murrade01.html,SAS,J. Poeltl,N. Vučević,1
202002290PHO,https://www.basketball-reference.com/boxscores/pbp/202002290PHO.html,Phoenix Suns,Golden State Warriors,PHO,GSW,D. Ayton,M. Chriss,D. Ayton,PHO,GSW,D. Booker,/players/b/bookede01.html,PHO,D. Ayton,M. Chriss,1
202003010LAC,https://www.basketball-reference.com/boxscores/pbp/202003010LAC.html,Los Angeles Clippers,Philadelphia 76ers,LAC,PHI,I. Zubac,A. Horford,J. Richardson,PHI,LAC,J. Richardson,/players/r/richajo01.html,PHI,A. Horford,I. Zubac,1
202003010MIN,https://www.basketball-reference.com/boxscores/pbp/202003010MIN.html,Minnesota Timberwolves,Dallas Mavericks,MIN,DAL,N. Reid,K. Porziņģis,K. Porziņģis,DAL,MIN,S. Curry,/players/c/curryse01.html,DAL,K. Porziņģis,N. Reid,1
202003010DEN,https://www.basketball-reference.com/boxscores/pbp/202003010DEN.html,Denver Nuggets,Toronto Raptors,DEN,TOR,N. Jokić,R. Hollis-Jefferson,J. Murray,DEN,TOR,J. Grant,/players/g/grantje01.html,DEN,N. Jokić,R. Hollis-Jefferson,1
202003010SAC,https://www.basketball-reference.com/boxscores/pbp/202003010SAC.html,Sacramento Kings,Detroit Pistons,SAC,DET,H. Giles,J. Henson,J. Henson,DET,SAC,C. Wood,/players/w/woodch01.html,DET,J. Henson,H. Giles,1
202003010NOP,https://www.basketball-reference.com/boxscores/pbp/202003010NOP.html,New Orleans Pelicans,Los Angeles Lakers,NOP,LAL,D. Favors,J. McGee,J. Holiday,LAL,NOP,L. James,/players/j/jamesle01.html,NOP,J. McGee,D. Favors,0
202003010GSW,https://www.basketball-reference.com/boxscores/pbp/202003010GSW.html,Golden State Warriors,Washington Wizards,GSW,WAS,M. Chriss,T. Bryant,D. Bender,GSW,WAS,J. Toscano-Anderson,/players/t/toscaju01.html,GSW,M. Chriss,T. Bryant,1
202003020CLE,https://www.basketball-reference.com/boxscores/pbp/202003020CLE.html,Cleveland Cavaliers,Utah Jazz,CLE,UTA,L. Nance,R. Gobert,K. Porter,UTA,CLE,D. Mitchell,/players/m/mitchdo01.html,CLE,R. Gobert,L. Nance,0
