Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon TeamTipoff Winner,Tipoff Loser,Tipoff Winner Scores
201312080DET,https://www.basketball-reference.com/boxscores/pbp/201312080DET.html,Detroit Pistons,Miami Heat,DET,MIA,A. Drummond,C. Bosh,C. Bosh,MIA,DET,B. Jennings,/players/j/jennibr01.html,MIA,DET,C. Bosh,A. Drummond,1
201312080HOU,https://www.basketball-reference.com/boxscores/pbp/201312080HOU.html,Houston Rockets,Orlando Magic,HOU,ORL,D. Howard,G. Davis,C. Parsons,ORL,HOU,T. Jones,/players/j/joneste01.html,ORL,HOU,G. Davis,D. Howard,1
201312080OKC,https://www.basketball-reference.com/boxscores/pbp/201312080OKC.html,Oklahoma City Thunder,Indiana Pacers,OKC,IND,S. Ibaka,R. Hibbert,K. Durant,IND,OKC,D. West,/players/w/westda01.html,IND,OKC,R. Hibbert,S. Ibaka,1
201312080LAL,https://www.basketball-reference.com/boxscores/pbp/201312080LAL.html,Los Angeles Lakers,Toronto Raptors,LAL,TOR,J. Valančiūnas,P. Gasol,J. Valančiūnas,TOR,LAL,A. Johnson,/players/j/johnsam01.html,TOR,LAL,P. Gasol,J. Valančiūnas,1
201312080NYK,https://www.basketball-reference.com/boxscores/pbp/201312080NYK.html,New York Knicks,Boston Celtics,NYK,BOS,B. Bass,A. Bargnani,B. Bass,BOS,NYK,J. Green,/players/g/greenje02.html,BOS,NYK,A. Bargnani,B. Bass,1
201312090CHA,https://www.basketball-reference.com/boxscores/pbp/201312090CHA.html,Charlotte Bobcats,Golden State Warriors,CHA,GSW,J. McRoberts,A. Bogut,G. Henderson,GSW,CHA,S. Curry,/players/c/curryst01.html,GSW,CHA,A. Bogut,J. McRoberts,1
201312090PHI,https://www.basketball-reference.com/boxscores/pbp/201312090PHI.html,Philadelphia 76ers,Los Angeles Clippers,PHI,LAC,D. Jordan,S. Hawes,T. Young,LAC,PHI,C. Paul,/players/p/paulch01.html,LAC,PHI,S. Hawes,D. Jordan,1
201312090WAS,https://www.basketball-reference.com/boxscores/pbp/201312090WAS.html,Washington Wizards,Denver Nuggets,WAS,DEN,J. Hickson,M. Gortat,W. Chandler,DEN,WAS,J. Wall,/players/w/walljo01.html,DEN,WAS,M. Gortat,J. Hickson,1
201312090MEM,https://www.basketball-reference.com/boxscores/pbp/201312090MEM.html,Memphis Grizzlies,Orlando Magic,MEM,ORL,K. Koufos,G. Davis,G. Davis,ORL,MEM,Z. Randolph,/players/r/randoza01.html,ORL,MEM,G. Davis,K. Koufos,1
201312090UTA,https://www.basketball-reference.com/boxscores/pbp/201312090UTA.html,Utah Jazz,Portland Trail Blazers,UTA,POR,R. Lopez,J. Evans,J. Evans,POR,UTA,E. Kanter,/players/k/kanteen01.html,POR,UTA,J. Evans,R. Lopez,1
201312090SAC,https://www.basketball-reference.com/boxscores/pbp/201312090SAC.html,Sacramento Kings,Dallas Mavericks,SAC,DAL,J. Thompson,D. Blair,S. Marion,DAL,SAC,J. Calderón,/players/c/caldejo01.html,DAL,SAC,D. Blair,J. Thompson,1
201312100CLE,https://www.basketball-reference.com/boxscores/pbp/201312100CLE.html,Cleveland Cavaliers,New York Knicks,CLE,NYK,A. Bynum,A. Bargnani,K. Irving,NYK,CLE,K. Irving,/players/i/irvinky01.html,NYK,CLE,A. Bargnani,A. Bynum,1
201312100IND,https://www.basketball-reference.com/boxscores/pbp/201312100IND.html,Indiana Pacers,Miami Heat,IND,MIA,R. Hibbert,C. Bosh,C. Bosh,MIA,IND,D. Wade,/players/w/wadedw01.html,MIA,IND,C. Bosh,R. Hibbert,1
201312100TOR,https://www.basketball-reference.com/boxscores/pbp/201312100TOR.html,Toronto Raptors,San Antonio Spurs,TOR,SAS,J. Valančiūnas,T. Duncan,J. Valančiūnas,SAS,TOR,T. Parker,/players/p/parketo01.html,SAS,TOR,T. Duncan,J. Valančiūnas,1
201312100ATL,https://www.basketball-reference.com/boxscores/pbp/201312100ATL.html,Atlanta Hawks,Oklahoma City Thunder,ATL,OKC,S. Ibaka,A. Horford,K. Korver,OKC,ATL,K. Perkins,/players/p/perkike01.html,OKC,ATL,A. Horford,S. Ibaka,1
201312100BRK,https://www.basketball-reference.com/boxscores/pbp/201312100BRK.html,Brooklyn Nets,Boston Celtics,BRK,BOS,B. Lopez,B. Bass,J. Green,BOS,BRK,D. Williams,/players/w/willide01.html,BOS,BRK,B. Bass,B. Lopez,1
201312100DET,https://www.basketball-reference.com/boxscores/pbp/201312100DET.html,Detroit Pistons,Minnesota Timberwolves,DET,MIN,N. Peković,A. Drummond,K. Love,MIN,DET,B. Jennings,/players/j/jennibr01.html,MIN,DET,A. Drummond,N. Peković,1
201312100CHI,https://www.basketball-reference.com/boxscores/pbp/201312100CHI.html,Chicago Bulls,Milwaukee Bucks,CHI,MIL,,,,,,,,,,
201312100LAL,https://www.basketball-reference.com/boxscores/pbp/201312100LAL.html,Los Angeles Lakers,Phoenix Suns,LAL,PHO,M. Plumlee,P. Gasol,S. Blake,PHO,LAL,S. Blake,/players/b/blakest01.html,PHO,LAL,P. Gasol,M. Plumlee,1
201312110CHA,https://www.basketball-reference.com/boxscores/pbp/201312110CHA.html,Charlotte Bobcats,Orlando Magic,CHA,ORL,N. Vučević,J. McRoberts,N. Vučević,ORL,CHA,G. Davis,/players/d/davisgl01.html,ORL,CHA,J. McRoberts,N. Vučević,1
201312110BOS,https://www.basketball-reference.com/boxscores/pbp/201312110BOS.html,Boston Celtics,Los Angeles Clippers,BOS,LAC,D. Jordan,B. Bass,J. Sullinger,LAC,BOS,J. Sullinger,/players/s/sullija01.html,LAC,BOS,B. Bass,D. Jordan,1
201312110MEM,https://www.basketball-reference.com/boxscores/pbp/201312110MEM.html,Memphis Grizzlies,Oklahoma City Thunder,MEM,OKC,K. Koufos,S. Ibaka,Z. Randolph,OKC,MEM,M. Conley,/players/c/conlemi01.html,OKC,MEM,S. Ibaka,K. Koufos,1
201312110MIL,https://www.basketball-reference.com/boxscores/pbp/201312110MIL.html,Milwaukee Bucks,San Antonio Spurs,MIL,SAS,J. Henson,T. Duncan,T. Duncan,SAS,MIL,D. Green,/players/g/greenda02.html,SAS,MIL,T. Duncan,J. Henson,1
201312110MIN,https://www.basketball-reference.com/boxscores/pbp/201312110MIN.html,Minnesota Timberwolves,Philadelphia 76ers,MIN,PHI,N. Peković,S. Hawes,T. Wroten,PHI,MIN,R. Rubio,/players/r/rubiori01.html,PHI,MIN,S. Hawes,N. Peković,1
201312110NOP,https://www.basketball-reference.com/boxscores/pbp/201312110NOP.html,New Orleans Pelicans,Detroit Pistons,NOP,DET,J. Smith,A. Drummond,A. Drummond,DET,NOP,B. Jennings,/players/j/jennibr01.html,DET,NOP,A. Drummond,J. Smith,1
201312110NYK,https://www.basketball-reference.com/boxscores/pbp/201312110NYK.html,New York Knicks,Chicago Bulls,NYK,CHI,J. Noah,A. Bargnani,M. Dunleavy,CHI,NYK,K. Martin,/players/m/martike01.html,CHI,NYK,A. Bargnani,J. Noah,1
201312110SAC,https://www.basketball-reference.com/boxscores/pbp/201312110SAC.html,Sacramento Kings,Utah Jazz,SAC,UTA,J. Thompson,D. Favors,G. Hayward,UTA,SAC,B. McLemore,/players/m/mclembe01.html,UTA,SAC,D. Favors,J. Thompson,1
201312110GSW,https://www.basketball-reference.com/boxscores/pbp/201312110GSW.html,Golden State Warriors,Dallas Mavericks,GSW,DAL,A. Bogut,D. Blair,D. Lee,DAL,GSW,S. Curry,/players/c/curryst01.html,DAL,GSW,D. Blair,A. Bogut,1
201312120BRK,https://www.basketball-reference.com/boxscores/pbp/201312120BRK.html,Brooklyn Nets,Los Angeles Clippers,BRK,LAC,,,,,,,,,,
201312120POR,https://www.basketball-reference.com/boxscores/pbp/201312120POR.html,Portland Trail Blazers,Houston Rockets,POR,HOU,R. Lopez,D. Howard,N. Batum,HOU,POR,P. Beverley,/players/b/beverpa01.html,HOU,POR,D. Howard,R. Lopez,1
201312130IND,https://www.basketball-reference.com/boxscores/pbp/201312130IND.html,Indiana Pacers,Charlotte Bobcats,IND,CHA,J. McRoberts,R. Hibbert,R. Hibbert,CHA,IND,G. Henderson,/players/h/hendege02.html,CHA,IND,R. Hibbert,J. McRoberts,1
201312130ORL,https://www.basketball-reference.com/boxscores/pbp/201312130ORL.html,Orlando Magic,Cleveland Cavaliers,ORL,CLE,N. Vučević,A. Bynum,C. Miles,CLE,ORL,K. Irving,/players/i/irvinky01.html,CLE,ORL,A. Bynum,N. Vučević,1
201312130TOR,https://www.basketball-reference.com/boxscores/pbp/201312130TOR.html,Toronto Raptors,Philadelphia 76ers,TOR,PHI,J. Valančiūnas,S. Hawes,J. Valančiūnas,PHI,TOR,A. Johnson,/players/j/johnsam01.html,PHI,TOR,S. Hawes,J. Valančiūnas,1
201312130ATL,https://www.basketball-reference.com/boxscores/pbp/201312130ATL.html,Atlanta Hawks,Washington Wizards,ATL,WAS,A. Horford,M. Gortat,M. Webster,WAS,ATL,P. Millsap,/players/m/millspa01.html,WAS,ATL,M. Gortat,A. Horford,1
201312130BOS,https://www.basketball-reference.com/boxscores/pbp/201312130BOS.html,Boston Celtics,New York Knicks,BOS,NYK,B. Bass,A. Bargnani,C. Anthony,NYK,BOS,K. Martin,/players/m/martike01.html,NYK,BOS,A. Bargnani,B. Bass,1
201312130DET,https://www.basketball-reference.com/boxscores/pbp/201312130DET.html,Detroit Pistons,Brooklyn Nets,DET,BRK,K. Garnett,A. Drummond,A. Anderson,BRK,DET,R. Evans,/players/e/evansre01.html,BRK,DET,A. Drummond,K. Garnett,1
201312130NOP,https://www.basketball-reference.com/boxscores/pbp/201312130NOP.html,New Orleans Pelicans,Memphis Grizzlies,NOP,MEM,J. Smith,K. Koufos,E. Gordon,MEM,NOP,R. Anderson,/players/a/anderry01.html,MEM,NOP,K. Koufos,J. Smith,1
201312130OKC,https://www.basketball-reference.com/boxscores/pbp/201312130OKC.html,Oklahoma City Thunder,Los Angeles Lakers,OKC,LAL,S. Ibaka,P. Gasol,R. Westbrook,LAL,OKC,K. Bryant,/players/b/bryanko01.html,LAL,OKC,P. Gasol,S. Ibaka,1
201312130MIL,https://www.basketball-reference.com/boxscores/pbp/201312130MIL.html,Milwaukee Bucks,Chicago Bulls,MIL,CHI,J. Noah,J. Henson,O. Mayo,CHI,MIL,C. Boozer,/players/b/boozeca01.html,CHI,MIL,J. Henson,J. Noah,1
201312130SAS,https://www.basketball-reference.com/boxscores/pbp/201312130SAS.html,San Antonio Spurs,Minnesota Timberwolves,SAS,MIN,N. Peković,T. Duncan,K. Leonard,MIN,SAS,T. Parker,/players/p/parketo01.html,MIN,SAS,T. Duncan,N. Peković,1
201312130DEN,https://www.basketball-reference.com/boxscores/pbp/201312130DEN.html,Denver Nuggets,Utah Jazz,DEN,UTA,J. Hickson,D. Favors,W. Chandler,UTA,DEN,K. Faried,/players/f/farieke01.html,UTA,DEN,D. Favors,J. Hickson,1
201312130PHO,https://www.basketball-reference.com/boxscores/pbp/201312130PHO.html,Phoenix Suns,Sacramento Kings,PHO,SAC,J. Thompson,M. Plumlee,C. Frye,SAC,PHO,G. Dragić,/players/d/dragigo01.html,SAC,PHO,M. Plumlee,J. Thompson,1
201312130GSW,https://www.basketball-reference.com/boxscores/pbp/201312130GSW.html,Golden State Warriors,Houston Rockets,GSW,HOU,D. Howard,A. Bogut,A. Bogut,HOU,GSW,P. Beverley,/players/b/beverpa01.html,HOU,GSW,A. Bogut,D. Howard,1
201312140CHA,https://www.basketball-reference.com/boxscores/pbp/201312140CHA.html,Charlotte Bobcats,Los Angeles Lakers,CHA,LAL,J. McRoberts,P. Gasol,A. Jefferson,LAL,CHA,K. Bryant,/players/b/bryanko01.html,LAL,CHA,P. Gasol,J. McRoberts,1
201312140WAS,https://www.basketball-reference.com/boxscores/pbp/201312140WAS.html,Washington Wizards,Los Angeles Clippers,WAS,LAC,D. Jordan,M. Gortat,J. Dudley,LAC,WAS,C. Paul,/players/p/paulch01.html,LAC,WAS,M. Gortat,D. Jordan,1
201312140MIA,https://www.basketball-reference.com/boxscores/pbp/201312140MIA.html,Miami Heat,Cleveland Cavaliers,MIA,CLE,A. Bynum,C. Bosh,D. Wade,CLE,MIA,D. Wade,/players/w/wadedw01.html,CLE,MIA,C. Bosh,A. Bynum,1
201312140NYK,https://www.basketball-reference.com/boxscores/pbp/201312140NYK.html,New York Knicks,Atlanta Hawks,NYK,ATL,A. Horford,A. Bargnani,I. Shumpert,ATL,NYK,J. Smith,/players/s/smithjr01.html,ATL,NYK,A. Bargnani,A. Horford,1
201312140CHI,https://www.basketball-reference.com/boxscores/pbp/201312140CHI.html,Chicago Bulls,Toronto Raptors,CHI,TOR,J. Valančiūnas,J. Noah,J. Valančiūnas,TOR,CHI,A. Johnson,/players/j/johnsam01.html,TOR,CHI,J. Noah,J. Valančiūnas,1
201312140PHI,https://www.basketball-reference.com/boxscores/pbp/201312140PHI.html,Philadelphia 76ers,Portland Trail Blazers,PHI,POR,R. Lopez,S. Hawes,S. Hawes,POR,PHI,L. Aldridge,/players/a/aldrila01.html,POR,PHI,S. Hawes,R. Lopez,1
201312140DAL,https://www.basketball-reference.com/boxscores/pbp/201312140DAL.html,Dallas Mavericks,Milwaukee Bucks,DAL,MIL,J. Henson,D. Blair,B. Knight,MIL,DAL,O. Mayo,/players/m/mayooj01.html,MIL,DAL,D. Blair,J. Henson,1
201312140UTA,https://www.basketball-reference.com/boxscores/pbp/201312140UTA.html,Utah Jazz,San Antonio Spurs,UTA,SAS,D. Favors,T. Duncan,G. Hayward,SAS,UTA,T. Parker,/players/p/parketo01.html,SAS,UTA,T. Duncan,D. Favors,1
201312150DET,https://www.basketball-reference.com/boxscores/pbp/201312150DET.html,Detroit Pistons,Portland Trail Blazers,DET,POR,R. Lopez,A. Drummond,A. Drummond,POR,DET,G. Monroe,/players/m/monrogr01.html,POR,DET,A. Drummond,R. Lopez,1
201312150MEM,https://www.basketball-reference.com/boxscores/pbp/201312150MEM.html,Memphis Grizzlies,Minnesota Timberwolves,MEM,MIN,N. Peković,K. Koufos,Z. Randolph,MIN,MEM,T. Allen,/players/a/allento01.html,MIN,MEM,K. Koufos,N. Peković,1
201312150SAC,https://www.basketball-reference.com/boxscores/pbp/201312150SAC.html,Sacramento Kings,Houston Rockets,SAC,HOU,J. Thompson,D. Howard,D. Howard,HOU,SAC,T. Jones,/players/j/joneste01.html,HOU,SAC,D. Howard,J. Thompson,1
201312150OKC,https://www.basketball-reference.com/boxscores/pbp/201312150OKC.html,Oklahoma City Thunder,Orlando Magic,OKC,ORL,N. Vučević,S. Ibaka,R. Westbrook,ORL,OKC,G. Davis,/players/d/davisgl01.html,ORL,OKC,S. Ibaka,N. Vučević,1
201312150DEN,https://www.basketball-reference.com/boxscores/pbp/201312150DEN.html,Denver Nuggets,New Orleans Pelicans,DEN,NOP,J. Smith,J. Hickson,J. Holiday,NOP,DEN,J. Holiday,/players/h/holidjr01.html,NOP,DEN,J. Hickson,J. Smith,1
201312150PHO,https://www.basketball-reference.com/boxscores/pbp/201312150PHO.html,Phoenix Suns,Golden State Warriors,PHO,GSW,M. Plumlee,A. Bogut,A. Bogut,GSW,PHO,S. Curry,/players/c/curryst01.html,GSW,PHO,A. Bogut,M. Plumlee,1
201312160IND,https://www.basketball-reference.com/boxscores/pbp/201312160IND.html,Indiana Pacers,Detroit Pistons,IND,DET,R. Hibbert,A. Drummond,A. Drummond,DET,IND,B. Jennings,/players/j/jennibr01.html,DET,IND,A. Drummond,R. Hibbert,1
201312160ATL,https://www.basketball-reference.com/boxscores/pbp/201312160ATL.html,Atlanta Hawks,Los Angeles Lakers,ATL,LAL,A. Horford,P. Gasol,P. Gasol,LAL,ATL,J. Meeks,/players/m/meeksjo01.html,LAL,ATL,P. Gasol,A. Horford,1
201312160BOS,https://www.basketball-reference.com/boxscores/pbp/201312160BOS.html,Boston Celtics,Minnesota Timberwolves,BOS,MIN,N. Peković,B. Bass,A. Bradley,MIN,BOS,J. Sullinger,/players/s/sullija01.html,MIN,BOS,B. Bass,N. Peković,1
201312160BRK,https://www.basketball-reference.com/boxscores/pbp/201312160BRK.html,Brooklyn Nets,Philadelphia 76ers,BRK,PHI,S. Hawes,K. Garnett,K. Garnett,PHI,BRK,M. Teletović,/players/t/teletmi01.html,PHI,BRK,K. Garnett,S. Hawes,1
201312160MIA,https://www.basketball-reference.com/boxscores/pbp/201312160MIA.html,Miami Heat,Utah Jazz,MIA,UTA,D. Favors,C. Bosh,L. James,UTA,MIA,L. James,/players/j/jamesle01.html,UTA,MIA,C. Bosh,D. Favors,1
201312160NYK,https://www.basketball-reference.com/boxscores/pbp/201312160NYK.html,New York Knicks,Washington Wizards,NYK,WAS,M. Gortat,A. Bargnani,C. Anthony,WAS,NYK,P. Prigioni,/players/p/prigipa01.html,WAS,NYK,A. Bargnani,M. Gortat,1
201312160CHI,https://www.basketball-reference.com/boxscores/pbp/201312160CHI.html,Chicago Bulls,Orlando Magic,CHI,ORL,N. Vučević,J. Noah,C. Boozer,ORL,CHI,C. Boozer,/players/b/boozeca01.html,ORL,CHI,J. Noah,N. Vučević,1
201312160LAC,https://www.basketball-reference.com/boxscores/pbp/201312160LAC.html,Los Angeles Clippers,San Antonio Spurs,LAC,SAS,D. Jordan,T. Duncan,K. Leonard,SAS,LAC,J. Crawford,/players/c/crawfja01.html,SAS,LAC,T. Duncan,D. Jordan,1
201312170CHA,https://www.basketball-reference.com/boxscores/pbp/201312170CHA.html,Charlotte Bobcats,Sacramento Kings,CHA,SAC,J. Thompson,J. McRoberts,D. Cousins,SAC,CHA,I. Thomas,/players/t/thomais02.html,SAC,CHA,J. McRoberts,J. Thompson,1
201312170CLE,https://www.basketball-reference.com/boxscores/pbp/201312170CLE.html,Cleveland Cavaliers,Portland Trail Blazers,CLE,POR,R. Lopez,A. Bynum,A. Bynum,POR,CLE,K. Irving,/players/i/irvinky01.html,POR,CLE,A. Bynum,R. Lopez,1
201312170MEM,https://www.basketball-reference.com/boxscores/pbp/201312170MEM.html,Memphis Grizzlies,Los Angeles Lakers,MEM,LAL,K. Koufos,P. Gasol,K. Koufos,LAL,MEM,K. Bryant,/players/b/bryanko01.html,LAL,MEM,P. Gasol,K. Koufos,1
201312170DEN,https://www.basketball-reference.com/boxscores/pbp/201312170DEN.html,Denver Nuggets,Oklahoma City Thunder,DEN,OKC,S. Ibaka,J. Hickson,S. Ibaka,OKC,DEN,K. Perkins,/players/p/perkike01.html,OKC,DEN,J. Hickson,S. Ibaka,1
201312170GSW,https://www.basketball-reference.com/boxscores/pbp/201312170GSW.html,Golden State Warriors,New Orleans Pelicans,GSW,NOP,J. Smith,A. Bogut,D. Lee,NOP,GSW,D. Lee,/players/l/leeda02.html,NOP,GSW,A. Bogut,J. Smith,1
201312180MIA,https://www.basketball-reference.com/boxscores/pbp/201312180MIA.html,Miami Heat,Indiana Pacers,MIA,IND,R. Hibbert,C. Bosh,C. Bosh,IND,MIA,L. James,/players/j/jamesle01.html,IND,MIA,C. Bosh,R. Hibbert,1
201312180ORL,https://www.basketball-reference.com/boxscores/pbp/201312180ORL.html,Orlando Magic,Utah Jazz,ORL,UTA,N. Vučević,D. Favors,G. Hayward,UTA,ORL,T. Burke,/players/b/burketr01.html,UTA,ORL,D. Favors,N. Vučević,1
201312180TOR,https://www.basketball-reference.com/boxscores/pbp/201312180TOR.html,Toronto Raptors,Charlotte Bobcats,TOR,CHA,J. Valančiūnas,J. McRoberts,J. Valančiūnas,CHA,TOR,K. Lowry,/players/l/lowryky01.html,CHA,TOR,J. McRoberts,J. Valančiūnas,1
201312180ATL,https://www.basketball-reference.com/boxscores/pbp/201312180ATL.html,Atlanta Hawks,Sacramento Kings,ATL,SAC,J. Thompson,A. Horford,D. Carroll,SAC,ATL,B. McLemore,/players/m/mclembe01.html,SAC,ATL,A. Horford,J. Thompson,1
201312180BOS,https://www.basketball-reference.com/boxscores/pbp/201312180BOS.html,Boston Celtics,Detroit Pistons,BOS,DET,A. Drummond,B. Bass,B. Bass,DET,BOS,B. Jennings,/players/j/jennibr01.html,DET,BOS,B. Bass,A. Drummond,1
201312180BRK,https://www.basketball-reference.com/boxscores/pbp/201312180BRK.html,Brooklyn Nets,Washington Wizards,BRK,WAS,B. Lopez,M. Gortat,K. Garnett,WAS,BRK,D. Williams,/players/w/willide01.html,WAS,BRK,M. Gortat,B. Lopez,1
201312180MIL,https://www.basketball-reference.com/boxscores/pbp/201312180MIL.html,Milwaukee Bucks,New York Knicks,MIL,NYK,J. Henson,T. Chandler,J. Smith,NYK,MIL,B. Knight,/players/k/knighbr03.html,NYK,MIL,T. Chandler,J. Henson,1
201312180MIN,https://www.basketball-reference.com/boxscores/pbp/201312180MIN.html,Minnesota Timberwolves,Portland Trail Blazers,MIN,POR,N. Peković,R. Lopez,L. Aldridge,POR,MIN,R. Rubio,/players/r/rubiori01.html,POR,MIN,R. Lopez,N. Peković,1
201312180DAL,https://www.basketball-reference.com/boxscores/pbp/201312180DAL.html,Dallas Mavericks,Memphis Grizzlies,DAL,MEM,K. Koufos,D. Blair,D. Blair,MEM,DAL,T. Allen,/players/a/allento01.html,MEM,DAL,D. Blair,K. Koufos,1
201312180PHO,https://www.basketball-reference.com/boxscores/pbp/201312180PHO.html,Phoenix Suns,San Antonio Spurs,PHO,SAS,M. Plumlee,T. Duncan,C. Frye,SAS,PHO,C. Joseph,/players/j/josepco01.html,SAS,PHO,T. Duncan,M. Plumlee,1
201312180HOU,https://www.basketball-reference.com/boxscores/pbp/201312180HOU.html,Houston Rockets,Chicago Bulls,HOU,CHI,J. Noah,D. Howard,J. Harden,CHI,HOU,T. Jones,/players/j/joneste01.html,CHI,HOU,D. Howard,J. Noah,1
201312180LAC,https://www.basketball-reference.com/boxscores/pbp/201312180LAC.html,Los Angeles Clippers,New Orleans Pelicans,LAC,NOP,J. Smith,D. Jordan,J. Dudley,NOP,LAC,C. Paul,/players/p/paulch01.html,NOP,LAC,D. Jordan,J. Smith,1
201312190OKC,https://www.basketball-reference.com/boxscores/pbp/201312190OKC.html,Oklahoma City Thunder,Chicago Bulls,OKC,CHI,J. Noah,S. Ibaka,K. Durant,CHI,OKC,K. Perkins,/players/p/perkike01.html,CHI,OKC,S. Ibaka,J. Noah,1
201312190GSW,https://www.basketball-reference.com/boxscores/pbp/201312190GSW.html,Golden State Warriors,San Antonio Spurs,GSW,SAS,A. Bogut,A. Baynes,K. Thompson,SAS,GSW,P. Mills,/players/m/millspa02.html,SAS,GSW,A. Baynes,A. Bogut,1
201312200PHI,https://www.basketball-reference.com/boxscores/pbp/201312200PHI.html,Philadelphia 76ers,Brooklyn Nets,PHI,BRK,B. Lopez,S. Hawes,D. Williams,BRK,PHI,M. Teletović,/players/t/teletmi01.html,BRK,PHI,S. Hawes,B. Lopez,1
201312200ATL,https://www.basketball-reference.com/boxscores/pbp/201312200ATL.html,Atlanta Hawks,Utah Jazz,ATL,UTA,A. Horford,D. Favors,A. Horford,UTA,ATL,T. Burke,/players/b/burketr01.html,UTA,ATL,D. Favors,A. Horford,1
201312200CLE,https://www.basketball-reference.com/boxscores/pbp/201312200CLE.html,Cleveland Cavaliers,Milwaukee Bucks,CLE,MIL,J. Henson,A. Bynum,K. Middleton,MIL,CLE,K. Irving,/players/i/irvinky01.html,MIL,CLE,A. Bynum,J. Henson,1
201312200DET,https://www.basketball-reference.com/boxscores/pbp/201312200DET.html,Detroit Pistons,Charlotte Bobcats,DET,CHA,J. McRoberts,A. Drummond,A. Drummond,CHA,DET,B. Jennings,/players/j/jennibr01.html,CHA,DET,A. Drummond,J. McRoberts,1
201312200MIA,https://www.basketball-reference.com/boxscores/pbp/201312200MIA.html,Miami Heat,Sacramento Kings,MIA,SAC,J. Thompson,C. Bosh,C. Bosh,SAC,MIA,D. Wade,/players/w/wadedw01.html,SAC,MIA,C. Bosh,J. Thompson,1
201312200IND,https://www.basketball-reference.com/boxscores/pbp/201312200IND.html,Indiana Pacers,Houston Rockets,IND,HOU,D. Howard,R. Hibbert,D. Howard,HOU,IND,P. Beverley,/players/b/beverpa01.html,HOU,IND,R. Hibbert,D. Howard,1
201312200DAL,https://www.basketball-reference.com/boxscores/pbp/201312200DAL.html,Dallas Mavericks,Toronto Raptors,DAL,TOR,J. Valančiūnas,D. Blair,K. Lowry,TOR,DAL,A. Johnson,/players/j/johnsam01.html,TOR,DAL,D. Blair,J. Valančiūnas,1
201312200DEN,https://www.basketball-reference.com/boxscores/pbp/201312200DEN.html,Denver Nuggets,Phoenix Suns,DEN,PHO,M. Plumlee,J. Hickson,M. Plumlee,PHO,DEN,P. Tucker,/players/t/tuckepj01.html,PHO,DEN,J. Hickson,M. Plumlee,1
201312200LAL,https://www.basketball-reference.com/boxscores/pbp/201312200LAL.html,Los Angeles Lakers,Minnesota Timberwolves,LAL,MIN,N. Peković,P. Gasol,X. Henry,MIN,LAL,X. Henry,/players/h/henryxa01.html,MIN,LAL,P. Gasol,N. Peković,1
201312210BOS,https://www.basketball-reference.com/boxscores/pbp/201312210BOS.html,Boston Celtics,Washington Wizards,BOS,WAS,M. Gortat,B. Bass,J. Sullinger,WAS,BOS,T. Ariza,/players/a/arizatr01.html,WAS,BOS,B. Bass,M. Gortat,1
201312210ORL,https://www.basketball-reference.com/boxscores/pbp/201312210ORL.html,Orlando Magic,Sacramento Kings,ORL,SAC,N. Vučević,J. Thompson,T. Harris,SAC,ORL,T. Harris,/players/h/harrito02.html,SAC,ORL,J. Thompson,N. Vučević,1
201312210CHA,https://www.basketball-reference.com/boxscores/pbp/201312210CHA.html,Charlotte Bobcats,Utah Jazz,CHA,UTA,J. McRoberts,D. Favors,T. Burke,UTA,CHA,T. Burke,/players/b/burketr01.html,UTA,CHA,D. Favors,J. McRoberts,1
201312210DET,https://www.basketball-reference.com/boxscores/pbp/201312210DET.html,Detroit Pistons,Houston Rockets,DET,HOU,D. Howard,A. Drummond,D. Howard,HOU,DET,T. Jones,/players/j/joneste01.html,HOU,DET,A. Drummond,D. Howard,1
201312210CHI,https://www.basketball-reference.com/boxscores/pbp/201312210CHI.html,Chicago Bulls,Cleveland Cavaliers,CHI,CLE,J. Noah,A. Bynum,C. Boozer,CLE,CHI,K. Irving,/players/i/irvinky01.html,CLE,CHI,A. Bynum,J. Noah,1
201312210MIL,https://www.basketball-reference.com/boxscores/pbp/201312210MIL.html,Milwaukee Bucks,Philadelphia 76ers,MIL,PHI,S. Hawes,G. Antetokounmpo,K. Middleton,PHI,MIL,C. Butler,/players/b/butleca01.html,PHI,MIL,G. Antetokounmpo,S. Hawes,1
201312210SAS,https://www.basketball-reference.com/boxscores/pbp/201312210SAS.html,San Antonio Spurs,Oklahoma City Thunder,SAS,OKC,S. Ibaka,T. Duncan,M. Belinelli,OKC,SAS,T. Parker,/players/p/parketo01.html,OKC,SAS,T. Duncan,S. Ibaka,1
201312210PHO,https://www.basketball-reference.com/boxscores/pbp/201312210PHO.html,Phoenix Suns,Dallas Mavericks,PHO,DAL,M. Plumlee,D. Blair,J. Calderón,DAL,PHO,E. Bledsoe,/players/b/bledser01.html,DAL,PHO,D. Blair,M. Plumlee,1
201312210POR,https://www.basketball-reference.com/boxscores/pbp/201312210POR.html,Portland Trail Blazers,New Orleans Pelicans,POR,NOP,R. Lopez,A. Davis,A. Davis,NOP,POR,R. Anderson,/players/a/anderry01.html,NOP,POR,A. Davis,R. Lopez,1
