Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Home Tipper Link,Away Tipper,Away Tipper Link,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tipoff Winner,Tipoff Winner Link,Tipoff Loser,Tipoff Loser Link,Tipoff Winner Scores
202101180NYK,https://www.basketball-reference.com/boxscores/pbp/202101180NYK.html,New York Knicks,Orlando Magic,NYK,ORL,M. Robinson,/players/r/robinmi01.html,N. Vučević,/players/v/vucevni01.html,E. Payton,NYK,ORL,E. Payton,/players/p/paytoel01.html,NYK,ORL,M. Robinson,/players/r/robinmi01.html,N. Vučević,/players/v/vucevni01.html,1
202101180ATL,https://www.basketball-reference.com/boxscores/pbp/202101180ATL.html,Atlanta Hawks,Minnesota Timberwolves,ATL,MIN,C. Capela,/players/c/capelca01.html,N. Reid,/players/r/reidna01.html,N. Reid,ATL,MIN,T. Young,/players/y/youngtr01.html,MIN,ATL,C. Capela,/players/c/capelca01.html,N. Reid,/players/r/reidna01.html,0
202101180POR,https://www.basketball-reference.com/boxscores/pbp/202101180POR.html,Portland Trail Blazers,San Antonio Spurs,POR,SAS,E. Kanter,/players/k/kanteen01.html,K. Johnson,/players/j/johnske04.html,L. Aldridge,SAS,POR,L. Aldridge,/players/a/aldrila01.html,SAS,POR,K. Johnson,/players/j/johnske04.html,E. Kanter,/players/k/kanteen01.html,1
202101180MEM,https://www.basketball-reference.com/boxscores/pbp/202101180MEM.html,Memphis Grizzlies,Phoenix Suns,MEM,PHO,B. Clarke,/players/c/clarkbr01.html,D. Ayton,/players/a/aytonde01.html,D. Booker,PHO,MEM,C. Paul,/players/p/paulch01.html,PHO,MEM,D. Ayton,/players/a/aytonde01.html,B. Clarke,/players/c/clarkbr01.html,1
202101180BRK,https://www.basketball-reference.com/boxscores/pbp/202101180BRK.html,Brooklyn Nets,Milwaukee Bucks,BRK,MIL,D. Jordan,/players/j/jordade01.html,B. Lopez,/players/l/lopezbr01.html,J. Harden,MIL,BRK,G. Antetokounmpo,/players/a/antetgi01.html,BRK,MIL,B. Lopez,/players/l/lopezbr01.html,D. Jordan,/players/j/jordade01.html,0
202101180TOR,https://www.basketball-reference.com/boxscores/pbp/202101180TOR.html,Toronto Raptors,Dallas Mavericks,TOR,DAL,A. Baynes,/players/b/baynear01.html,W. Cauley-Stein,/players/c/caulewi01.html,K. Porziņģis,TOR,DAL,F. VanVleet,/players/v/vanvlfr01.html,DAL,TOR,A. Baynes,/players/b/baynear01.html,W. Cauley-Stein,/players/c/caulewi01.html,0
202101180CHI,https://www.basketball-reference.com/boxscores/pbp/202101180CHI.html,Chicago Bulls,Houston Rockets,CHI,HOU,W. Carter,/players/c/cartewe01.html,C. Wood,/players/w/woodch01.html,G. Temple,CHI,HOU,G. Temple,/players/t/templga01.html,CHI,HOU,W. Carter,/players/c/cartewe01.html,C. Wood,/players/w/woodch01.html,1
202101180MIA,https://www.basketball-reference.com/boxscores/pbp/202101180MIA.html,Miami Heat,Detroit Pistons,MIA,DET,B. Adebayo,/players/a/adebaba01.html,M. Plumlee,/players/p/plumlma01.html,B. Adebayo,MIA,DET,G. Dragić,/players/d/dragigo01.html,MIA,DET,B. Adebayo,/players/a/adebaba01.html,M. Plumlee,/players/p/plumlma01.html,1
202101180LAL,https://www.basketball-reference.com/boxscores/pbp/202101180LAL.html,Los Angeles Lakers,Golden State Warriors,LAL,GSW,A. Davis,/players/d/davisan02.html,J. Wiseman,/players/w/wisemja01.html,D. Schröder,LAL,GSW,L. James,/players/j/jamesle01.html,LAL,GSW,A. Davis,/players/d/davisan02.html,J. Wiseman,/players/w/wisemja01.html,1
202101190DEN,https://www.basketball-reference.com/boxscores/pbp/202101190DEN.html,Denver Nuggets,Oklahoma City Thunder,DEN,OKC,N. Jokić,/players/j/jokicni01.html,I. Roby,/players/r/robyis01.html,J. Murray,DEN,OKC,P. Millsap,/players/m/millspa01.html,DEN,OKC,N. Jokić,/players/j/jokicni01.html,I. Roby,/players/r/robyis01.html,1
202101190UTA,https://www.basketball-reference.com/boxscores/pbp/202101190UTA.html,Utah Jazz,New Orleans Pelicans,UTA,NOP,R. Gobert,/players/g/goberru01.html,S. Adams,/players/a/adamsst01.html,D. Mitchell,NOP,UTA,L. Ball,/players/b/balllo01.html,UTA,NOP,S. Adams,/players/a/adamsst01.html,R. Gobert,/players/g/goberru01.html,0
