,Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores
955,201703090POR,https://www.basketball-reference.com/boxscores/pbp/201703090POR.html,Portland Trail Blazers,Philadelphia 76ers,POR,PHI,J. Nurkić,J. Okafor,M. Harkless,POR,PHI,D. Lillard,/players/l/lillada01.html,POR,PHI,J. Nurkić,/players/n/nurkiju01.html,J. Okafor,/players/o/okafoja01.html,1.0
956,201703090PHO,https://www.basketball-reference.com/boxscores/pbp/201703090PHO.html,Phoenix Suns,Los Angeles Lakers,PHO,LAL,A. Len,T. Black,A. Len,LAL,PHO,D. Russell,/players/r/russeda01.html,PHO,LAL,T. Black,/players/b/blackta01.html,A. Len,/players/l/lenal01.html,0.0
957,201703100CHO,https://www.basketball-reference.com/boxscores/pbp/201703100CHO.html,Charlotte Hornets,Orlando Magic,CHO,ORL,C. Zeller,B. Biyombo,N. Batum,ORL,CHO,E. Payton,/players/p/paytoel01.html,CHO,ORL,B. Biyombo,/players/b/biyombi01.html,C. Zeller,/players/z/zelleco01.html,0.0
958,201703100ATL,https://www.basketball-reference.com/boxscores/pbp/201703100ATL.html,Atlanta Hawks,Toronto Raptors,ATL,TOR,Dwight Howard,Jonas Valanciunas,Serge Ibaka,TOR,ATL,,,TOR,ATL,Jonas Valanciunas,valanjo01.html,Dwight Howard,howardw01.html,1.0
959,201703100CHI,https://www.basketball-reference.com/boxscores/pbp/201703100CHI.html,Chicago Bulls,Houston Rockets,CHI,HOU,R. Lopez,C. Capela,D. Wade,HOU,CHI,P. Beverley,/players/b/beverpa01.html,CHI,HOU,C. Capela,/players/c/capelca01.html,R. Lopez,/players/l/lopezro01.html,0.0
960,201703100MIL,https://www.basketball-reference.com/boxscores/pbp/201703100MIL.html,Milwaukee Bucks,Indiana Pacers,MIL,IND,T. Maker,M. Turner,M. Turner,IND,MIL,T. Young,/players/y/youngth01.html,IND,MIL,M. Turner,/players/t/turnemy01.html,T. Maker,/players/m/makerth01.html,1.0
961,201703100MIN,https://www.basketball-reference.com/boxscores/pbp/201703100MIN.html,Minnesota Timberwolves,Golden State Warriors,MIN,GSW,K. Towns,Z. Pachulia,Z. Pachulia,MIN,GSW,R. Rubio,/players/r/rubiori01.html,GSW,MIN,K. Towns,/players/t/townska01.html,Z. Pachulia,/players/p/pachuza01.html,0.0
962,201703100DAL,https://www.basketball-reference.com/boxscores/pbp/201703100DAL.html,Dallas Mavericks,Brooklyn Nets,DAL,BRK,Q. Acy,D. Nowitzki,Q. Acy,BRK,DAL,J. Lin,/players/l/linje01.html,DAL,BRK,D. Nowitzki,/players/n/nowitdi01.html,Q. Acy,/players/a/acyqu01.html,0.0
963,201703100DEN,https://www.basketball-reference.com/boxscores/pbp/201703100DEN.html,Denver Nuggets,Boston Celtics,DEN,BOS,N. Jokić,A. Johnson,N. Jokić,BOS,DEN,I. Thomas,/players/t/thomais02.html,DEN,BOS,A. Johnson,/players/j/johnsam01.html,N. Jokić,/players/j/jokicni01.html,0.0
964,201703100SAC,https://www.basketball-reference.com/boxscores/pbp/201703100SAC.html,Sacramento Kings,Washington Wizards,SAC,WAS,K. Koufos,M. Gortat,M. Gortat,WAS,SAC,J. Wall,/players/w/walljo01.html,WAS,SAC,M. Gortat,/players/g/gortama01.html,K. Koufos,/players/k/koufoko01.html,1.0
965,201703110OKC,https://www.basketball-reference.com/boxscores/pbp/201703110OKC.html,Oklahoma City Thunder,Utah Jazz,OKC,UTA,S. Adams,J. Withey,S. Adams,OKC,UTA,R. Westbrook,/players/w/westbru01.html,OKC,UTA,S. Adams,/players/a/adamsst01.html,J. Withey,/players/w/witheje01.html,1.0
966,201703110LAC,https://www.basketball-reference.com/boxscores/pbp/201703110LAC.html,Los Angeles Clippers,Philadelphia 76ers,LAC,PHI,D. Jordan,J. Okafor,J. Okafor,LAC,PHI,C. Paul,/players/p/paulch01.html,PHI,LAC,D. Jordan,/players/j/jordade01.html,J. Okafor,/players/o/okafoja01.html,0.0
