Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses,Home Glicko Mu,Away Glicko Mu,Home Glicko Sigma,Away Glicko Sigma,Home Glicko Phi,Away Glicko Phi,Home Elo,Away Elo
199802130LAC,https://www.basketball-reference.com/boxscores/pbp/199802130LAC.html,Los Angeles Clippers,Boston Celtics,LAC,BOS,Lorenzen Wright,Andrew DeClercq,Dee Brown,LAC,BOS,,,BOS,LAC,Lorenzen Wright,/players/w/wrighlo02.html,Andrew DeClercq,/players/d/declean01.html,0.0,18.09572323628401,25.23486504308133,2.9749164661124574,1.8879464065782705,11,20,2,9,9,12,1083.4420794212294,1453.4648444170953,0.5989316301347654,0.6025463133983121,216.83714360560364,205.55103208408286,1167.1593221046612,1192.7812271701273
199802130LAL,https://www.basketball-reference.com/boxscores/pbp/199802130LAL.html,Los Angeles Lakers,Seattle SuperSonics,LAL,SEA,S. O'Neal,V. Baker,D. Schrempf,SEA,LAL,G. Payton,/players/p/paytoga01.html,SEA,LAL,V. Baker,/players/b/bakervi01.html,S. O'Neal,/players/o/onealsh01.html,1.0,29.7090981880322,28.383542741068695,1.9715170107365687,1.4099952062371703,23,49,16,32,7,16,1778.0449637147112,1715.3698422005164,0.609252479976651,0.6098917288652602,218.9350916863785,212.1203831470049,1244.3313230746326,1255.524839186526
199802130MIA,https://www.basketball-reference.com/boxscores/pbp/199802130MIA.html,Miami Heat,Detroit Pistons,MIA,DET,A. Mourning,B. Dele,P. Brown,MIA,DET,J. Mashburn,/players/m/mashbja01.html,MIA,DET,A. Mourning,/players/m/mournal01.html,B. Dele,/players/d/delebi01.html,1.0,26.71978813907381,25.418871238194843,1.7549210803657895,1.6366761285860874,24,35,12,18,12,18,1873.0000768931643,1610.6882230624815,0.6060420727049075,0.6023381331823523,209.03113582403515,217.1978989491724,1208.4663629437716,1208.0224109731907
199802130NJN,https://www.basketball-reference.com/boxscores/pbp/199802130NJN.html,New Jersey Nets,Toronto Raptors,NJN,TOR,J. Williams,O. Miller,J. Wallace,TOR,NJN,R. Slater,/players/s/slatere01.html,TOR,NJN,O. Miller,/players/m/milleol01.html,J. Williams,/players/w/willija01.html,1.0,24.693183389570024,19.66379760349605,1.3417604470823985,3.881170293594775,48,6,22,2,26,4,1501.3454805964193,1209.044291267896,0.6105811672547301,0.6019706704394621,224.14794012975293,250.1972275987412,1189.765581009367,1184.8692487782605
199802130ORL,https://www.basketball-reference.com/boxscores/pbp/199802130ORL.html,Orlando Magic,New York Knicks,ORL,NYK,R. Seikaly,C. Dudley,A. Houston,NYK,ORL,A. Houston,/players/h/houstal01.html,NYK,ORL,C. Dudley,/players/d/dudlech02.html,R. Seikaly,/players/s/seikaro01.html,1.0,23.64111676332124,25.521788853711715,1.4332008058719063,2.1888190026827323,47,16,20,6,27,9,1584.3687698644394,1693.8682122252123,0.6002539929758189,0.6069887629822521,218.4981519832306,208.64955042848285,1182.6324792490234,1191.4628263763616
199802130POR,https://www.basketball-reference.com/boxscores/pbp/199802130POR.html,Portland Trail Blazers,Houston Rockets,POR,HOU,A. Sabonis,K. Willis,A. Sabonis,HOU,POR,H. Olajuwon,/players/o/olajuha01.html,POR,HOU,K. Willis,/players/w/willike02.html,A. Sabonis,/players/s/sabonar01.html,0.0,28.983504518127408,29.279539152225965,1.4406208478661902,1.5400471199631929,45,37,29,24,16,12,1984.7080394691168,1951.714464207399,0.6022905529333686,0.6035340551512945,223.12669283530133,235.61032586098256,1261.3630476476965,1254.260078280386
199802140ATL,https://www.basketball-reference.com/boxscores/pbp/199802140ATL.html,Atlanta Hawks,Indiana Pacers,ATL,IND,D. Mutombo,D. Davis,R. Miller,ATL,IND,S. Smith,/players/s/smithst01.html,IND,ATL,D. Mutombo,/players/m/mutomdi01.html,D. Davis,/players/d/davisda01.html,0.0,29.52500739448342,24.574084055362814,1.4318531208267806,1.4419727721449023,50,44,36,20,14,25,2078.378462161787,1779.3110702072013,0.6090330124553229,0.6083058681711395,213.96685264118062,206.10727816731696,1278.1539066525936,1195.2569799032444
199802140CLE,https://www.basketball-reference.com/boxscores/pbp/199802140CLE.html,Cleveland Cavaliers,Milwaukee Bucks,CLE,MIL,Z. Ilgauskas,E. Johnson,W. Person,CLE,MIL,B. Knight,/players/k/knighbr01.html,CLE,MIL,Z. Ilgauskas,/players/i/ilgauzy01.html,E. Johnson,/players/j/johnser02.html,1.0,28.192751239095692,28.111224257666347,1.3508511760053938,1.335184763214641,48,48,31,29,17,20,1674.8221774968176,1447.0006083847222,0.6112463995141652,0.6133842208482164,226.15164355212715,219.5271063430468,1258.1695598535575,1237.8794586430126
199802140PHI,https://www.basketball-reference.com/boxscores/pbp/199802140PHI.html,Philadelphia 76ers,New Jersey Nets,PHI,NJN,T. Ratliff,J. Williams,T. Thomas,PHI,NJN,A. Iverson,/players/i/iversal01.html,PHI,NJN,T. Ratliff,/players/r/ratlith01.html,J. Williams,/players/w/willija01.html,1.0,23.75641716726792,24.384129552007327,1.8994782397985082,1.3275926780100338,21,48,9,22,12,27,1380.6472351386506,1320.2767419586685,0.6035279436765558,0.6114901059479508,207.66652665059826,225.653078083512,1185.143274857135,1184.6951217888195
199802140SAS,https://www.basketball-reference.com/boxscores/pbp/199802140SAS.html,San Antonio Spurs,Phoenix Suns,SAS,PHO,D. Robinson,A. McDyess,W. Perdue,PHO,SAS,S. Nash,/players/n/nashst01.html,SAS,PHO,A. McDyess,/players/m/mcdyean01.html,D. Robinson,/players/r/robinda01.html,0.0,28.493911207377717,27.25732352808166,1.4732593706832289,1.3817638487554567,48,48,32,28,16,19,1444.8500802710826,1596.8402183442913,0.608200818148149,0.6073574796855545,217.41702070070892,233.47798210072472,1253.2883668938948,1232.8085834167675
