Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses
202001310HOU,https://www.basketball-reference.com/boxscores/pbp/202001310HOU.html,Houston Rockets,Dallas Mavericks,HOU,DAL,J. Harden,K. Porziņģis,J. Barea,DAL,HOU,J. Barea,/players/b/bareajo01.html,DAL,HOU,K. Porziņģis,/players/p/porzikr01.html,J. Harden,/players/h/hardeja01.html,1.0,25.0,24.86634095800669,8.333333333333334,0.9327511060707634,1,109,0,62,1,47
202001310NOP,https://www.basketball-reference.com/boxscores/pbp/202001310NOP.html,New Orleans Pelicans,Memphis Grizzlies,NOP,MEM,D. Favors,J. Valančiūnas,D. Brooks,NOP,MEM,L. Ball,/players/b/balllo01.html,MEM,NOP,D. Favors,/players/f/favorde01.html,J. Valančiūnas,/players/v/valanjo01.html,0.0,23.52705138271474,23.073048904240594,0.8470677046577448,0.823435246303739,196,484,99,224,97,262
202001310MIL,https://www.basketball-reference.com/boxscores/pbp/202001310MIL.html,Milwaukee Bucks,Denver Nuggets,MIL,DEN,G. Antetokounmpo,N. Jokić,W. Matthews,MIL,DEN,E. Bledsoe,/players/b/bledser01.html,MIL,DEN,G. Antetokounmpo,/players/a/antetgi01.html,N. Jokić,/players/j/jokicni01.html,1.0,29.242533821401402,22.501123629784313,6.628130505152762,0.8327914384263893,1,238,1,108,0,131
202001310PHO,https://www.basketball-reference.com/boxscores/pbp/202001310PHO.html,Phoenix Suns,Oklahoma City Thunder,PHO,OKC,D. Ayton,S. Adams,R. Rubio,OKC,PHO,C. Paul,/players/p/paulch01.html,PHO,OKC,S. Adams,/players/a/adamsst01.html,D. Ayton,/players/a/aytonde01.html,0.0,20.307055088580565,26.477676916704127,1.0364451117894744,0.8432342400015501,82,462,27,320,55,144
202001310LAL,https://www.basketball-reference.com/boxscores/pbp/202001310LAL.html,Los Angeles Lakers,Portland Trail Blazers,LAL,POR,J. McGee,H. Whiteside,A. Davis,LAL,POR,L. James,/players/j/jamesle01.html,LAL,POR,J. McGee,/players/m/mcgeeja01.html,H. Whiteside,/players/w/whiteha01.html,1.0,26.465391005445245,24.082772612551025,0.8388825435680347,0.8258475691949119,301,315,201,169,100,147
202002010IND,https://www.basketball-reference.com/boxscores/pbp/202002010IND.html,Indiana Pacers,New York Knicks,IND,NYK,M. Turner,T. Gibson,J. Randle,NYK,IND,D. Smith,/players/s/smithde03.html,NYK,IND,T. Gibson,/players/g/gibsota01.html,M. Turner,/players/t/turnemy01.html,1.0,20.21724289548406,20.71194720380157,0.8441268969304163,1.2239733534114234,273,53,94,18,180,34
202002010ORL,https://www.basketball-reference.com/boxscores/pbp/202002010ORL.html,Orlando Magic,Miami Heat,ORL,MIA,N. Vučević,B. Adebayo,M. Leonard,MIA,ORL,M. Leonard,/players/l/leoname01.html,MIA,ORL,B. Adebayo,/players/a/adebaba01.html,N. Vučević,/players/v/vucevni01.html,1.0,20.499891134457005,21.83920045054442,0.8314766580396132,0.970848536949917,496,92,195,38,301,53
202002010CLE,https://www.basketball-reference.com/boxscores/pbp/202002010CLE.html,Cleveland Cavaliers,Golden State Warriors,CLE,GSW,T. Thompson,M. Chriss,K. Love,CLE,GSW,K. Love,/players/l/loveke01.html,CLE,GSW,T. Thompson,/players/t/thomptr01.html,M. Chriss,/players/c/chrisma01.html,1.0,20.054986810945543,19.398680744030447,0.8406923709023614,1.8172452889035327,307,23,99,7,209,17
202002010WAS,https://www.basketball-reference.com/boxscores/pbp/202002010WAS.html,Washington Wizards,Brooklyn Nets,WAS,BRK,I. Mahinmi,J. Allen,G. Temple,BRK,WAS,K. Irving,/players/i/irvinky01.html,BRK,WAS,J. Allen,/players/a/allenja01.html,I. Mahinmi,/players/m/mahinia01.html,1.0,22.571684317046063,26.23826589023392,0.888603822268994,0.8828916522822213,127,157,56,103,71,53
202002010BOS,https://www.basketball-reference.com/boxscores/pbp/202002010BOS.html,Boston Celtics,Philadelphia 76ers,BOS,PHI,D. Theis,J. Embiid,J. Embiid,PHI,BOS,B. Simmons,/players/s/simmobe01.html,PHI,BOS,J. Embiid,/players/e/embiijo01.html,D. Theis,/players/t/theisda01.html,1.0,19.874464293581415,24.75026050044289,1.3172259259993322,0.8393472795552762,47,209,15,123,32,85
