Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tipoff Winner,Tipoff Winner Link,Tipoff Loser,Tipoff Loser Link,Tipoff Winner Scores
200401150UTA,https://www.basketball-reference.com/boxscores/pbp/200401150UTA.html,Utah Jazz,Miami Heat,UTA,MIA,G. Ostertag,B. Grant,A. Kirilenko,UTA,MIA,C. Arroyo,/players/a/arroyca01.html,UTA,MIA,G. Ostertag,/players/o/ostergr01.html,B. Grant,/players/g/grantbr01.html,1
200401150POR,https://www.basketball-reference.com/boxscores/pbp/200401150POR.html,Portland Trail Blazers,Phoenix Suns,POR,PHO,D. Davis,J. Voskuhl,S. Marion,POR,PHO,Z. Randolph,/players/r/randoza01.html,PHO,POR,D. Davis,/players/d/davisda01.html,J. Voskuhl,/players/v/voskuja01.html,0
200401150GSW,https://www.basketball-reference.com/boxscores/pbp/200401150GSW.html,Golden State Warriors,Cleveland Cavaliers,GSW,CLE,E. Dampier,Z. Ilgauskas,M. Dunleavy,CLE,GSW,C. Boozer,/players/b/boozeca01.html,GSW,CLE,Z. Ilgauskas,/players/i/ilgauzy01.html,E. Dampier,/players/d/dampier01.html,0
200401160IND,https://www.basketball-reference.com/boxscores/pbp/200401160IND.html,Indiana Pacers,San Antonio Spurs,IND,SAS,J. O'Neal,T. Duncan,R. Nesterović,IND,SAS,M. World Peace,/players/a/artesro01.html,SAS,IND,J. O'Neal,/players/o/onealje01.html,T. Duncan,/players/d/duncati01.html,0
200401160ORL,https://www.basketball-reference.com/boxscores/pbp/200401160ORL.html,Orlando Magic,Boston Celtics,ORL,BOS,A. DeClercq,C. Mihm,C. Mihm,BOS,ORL,M. James,/players/j/jamesmi01.html,BOS,ORL,C. Mihm,/players/m/mihmch01.html,A. DeClercq,/players/d/declean01.html,1
200401160NYK,https://www.basketball-reference.com/boxscores/pbp/200401160NYK.html,New York Knicks,Seattle SuperSonics,NYK,SEA,D. Mutombo,J. James,R. Allen,SEA,NYK,V. Radmanović,/players/r/radmavl01.html,SEA,NYK,J. James,/players/j/jamesje01.html,D. Mutombo,/players/m/mutomdi01.html,1
200401160DET,https://www.basketball-reference.com/boxscores/pbp/200401160DET.html,Detroit Pistons,Washington Wizards,DET,WAS,B. Wallace,K. Brown,B. Knight,DET,WAS,C. Billups,/players/b/billuch01.html,WAS,DET,B. Wallace,/players/w/wallabe01.html,K. Brown,/players/b/brownkw01.html,0
200401160DEN,https://www.basketball-reference.com/boxscores/pbp/200401160DEN.html,Denver Nuggets,Dallas Mavericks,DEN,DAL,M. Camby,D. Nowitzki,D. Nowitzki,DEN,DAL,A. Miller,/players/m/millean02.html,DAL,DEN,M. Camby,/players/c/cambyma01.html,D. Nowitzki,/players/n/nowitdi01.html,0
200401160PHO,https://www.basketball-reference.com/boxscores/pbp/200401160PHO.html,Phoenix Suns,Golden State Warriors,PHO,GSW,J. Voskuhl,E. Dampier,M. Dunleavy,GSW,PHO,J. Richardson,/players/r/richaja01.html,GSW,PHO,E. Dampier,/players/d/dampier01.html,J. Voskuhl,/players/v/voskuja01.html,1
200401160LAC,https://www.basketball-reference.com/boxscores/pbp/200401160LAC.html,Los Angeles Clippers,Miami Heat,LAC,MIA,C. Wilcox,B. Grant,C. Maggette,MIA,LAC,R. Alston,/players/a/alstora01.html,LAC,MIA,B. Grant,/players/g/grantbr01.html,C. Wilcox,/players/w/wilcoch01.html,0
200401160SAC,https://www.basketball-reference.com/boxscores/pbp/200401160SAC.html,Sacramento Kings,Los Angeles Lakers,SAC,LAL,V. Divac,J. Sampson,V. Divac,SAC,LAL,B. Miller,/players/m/millebr01.html,SAC,LAL,V. Divac,/players/d/divacvl01.html,J. Sampson,/players/s/sampsja01.html,1
200401170PHI,https://www.basketball-reference.com/boxscores/pbp/200401170PHI.html,Philadelphia 76ers,Memphis Grizzlies,PHI,MEM,S. Dalembert,P. Gasol,D. Coleman,PHI,MEM,E. Snow,/players/s/snower01.html,PHI,MEM,S. Dalembert,/players/d/dalemsa01.html,P. Gasol,/players/g/gasolpa01.html,1
200401170HOU,https://www.basketball-reference.com/boxscores/pbp/200401170HOU.html,Houston Rockets,Minnesota Timberwolves,HOU,MIN,K. Cato,K. Garnett,S. Francis,MIN,HOU,E. Johnson,/players/j/johnser02.html,HOU,MIN,K. Garnett,/players/g/garneke01.html,K. Cato,/players/c/catoke01.html,0
